subid,sesid,S1_score,S3_score,A2_score,A3_score,average_rating,classification
sub-93406,ses-1,1,0,1,1,0.75,Artifact
sub-93517,ses-1,1,1,0,0,0.5,Artifact
sub-93549,ses-1,1,1,1,1,1,Pass
sub-93723,ses-1,1,1,1,1,1,Pass
sub-93734,ses-1,1,1,1,1,1,Pass
sub-93787,ses-1,1,1,1,1,1,Pass
sub-93856,ses-1,1,1,1,1,1,Pass
sub-94276,ses-1,1,1,1,1,1,Pass
sub-94492,ses-1,0,0,0,0,0,Fail
sub-94848,ses-1,1,1,1,1,1,Pass
sub-95015,ses-1,0,0,0,0,0,Fail
sub-95057,ses-1,1,1,1,1,1,Pass
sub-95116,ses-1,1,1,1,1,1,Pass
sub-95257,ses-1,1,1,1,1,1,Pass
sub-95460,ses-1,1,1,1,1,1,Pass
sub-96659,ses-1,1,1,1,1,1,Pass
sub-97092,ses-1,1,1,1,1,1,Pass
sub-97271,ses-1,1,1,0,0,0.5,Artifact
sub-97485,ses-1,1,1,1,1,1,Pass
sub-97994,ses-1,1,1,1,1,1,Pass
sub-98314,ses-1,1,1,1,1,1,Pass
sub-98394,ses-1,1,0,1,1,0.75,Artifact
sub-98422,ses-1,1,1,1,1,1,Pass
sub-98535,ses-1,1,1,1,1,1,Pass
sub-98567,ses-1,1,1,1,0,0.75,Artifact
sub-98831,ses-1,1,1,1,1,1,Pass
sub-98871,ses-1,1,1,1,1,1,Pass
sub-99352,ses-1,1,1,1,1,1,Pass
sub-99604,ses-1,1,1,1,1,1,Pass
sub-99949,ses-1,1,1,1,1,1,Pass
sub-99964,ses-1,1,1,1,0,0.75,Artifact
sub-102041,ses-1,1,1,1,1,1,Pass
sub-103679,ses-1,1,1,1,1,1,Pass
sub-104059,ses-1,1,1,1,1,1,Pass
sub-104235,ses-1,1,1,1,1,1,Pass
sub-104785,ses-1,1,0,1,1,0.75,Artifact
sub-105168,ses-1,1,1,1,1,1,Pass
sub-105176,ses-1,1,1,1,1,1,Pass
sub-105309,ses-1,1,1,1,1,1,Pass
sub-105767,ses-1,1,1,1,1,1,Pass
sub-105860,ses-1,1,1,1,1,1,Pass
sub-105979,ses-1,1,1,1,1,1,Pass
sub-106039,ses-1,1,1,1,1,1,Pass
sub-106246,ses-1,1,1,1,1,1,Pass
sub-106331,ses-1,0,0,0,0,0,Fail
sub-106802,ses-1,1,1,1,1,1,Pass
sub-106880,ses-1,1,1,1,1,1,Pass
sub-107055,ses-1,1,1,1,1,1,Pass
sub-108202,ses-1,1,1,1,0,0.75,Artifact
sub-109521,ses-1,1,1,1,0,0.75,Artifact
sub-109646,ses-1,1,1,0,1,0.75,Artifact
sub-109735,ses-1,1,1,1,1,1,Pass
sub-110168,ses-1,1,1,1,1,1,Pass
sub-110354,ses-1,1,1,1,1,1,Pass
sub-110828,ses-1,1,1,1,1,1,Pass
sub-112028,ses-1,1,1,1,1,1,Pass
sub-112061,ses-1,1,1,1,1,1,Pass
sub-112126,ses-1,1,1,0,0,0.5,Artifact
sub-112249,ses-1,1,1,1,0,0.75,Artifact
sub-112332,ses-1,1,1,1,1,1,Pass
sub-112694,ses-1,1,1,1,1,1,Pass
sub-113111,ses-1,1,1,1,1,1,Pass
sub-114709,ses-1,1,1,1,1,1,Pass
sub-114713,ses-1,1,1,1,1,1,Pass
sub-114723,ses-1,1,1,1,1,1,Pass
sub-114935,ses-1,1,1,1,1,1,Pass
sub-114990,ses-1,1,1,1,1,1,Pass
sub-115800,ses-1,1,1,1,1,1,Pass
sub-116019,ses-1,1,1,1,1,1,Pass
sub-116051,ses-1,1,1,1,1,1,Pass
sub-116210,ses-1,1,1,1,1,1,Pass
sub-116354,ses-1,0,0,0,0,0,Fail
sub-116360,ses-1,1,1,1,1,1,Pass
sub-117226,ses-1,1,1,1,1,1,Pass
sub-117397,ses-1,1,1,1,1,1,Pass
sub-118393,ses-1,1,1,1,1,1,Pass
sub-118864,ses-1,1,1,1,1,1,Pass
sub-118990,ses-1,1,1,1,1,1,Pass
sub-119302,ses-1,1,1,1,1,1,Pass
sub-119791,ses-1,0,1,1,1,0.75,Artifact
sub-120217,ses-1,1,1,1,1,1,Pass
sub-120562,ses-1,1,1,1,1,1,Pass
sub-121001,ses-1,1,1,0,0,0.5,Artifact
sub-121050,ses-1,1,1,0,0,0.5,Artifact
sub-121085,ses-1,1,1,1,1,1,Pass
sub-121407,ses-1,1,1,1,1,1,Pass
sub-121476,ses-1,0,0,0,0,0,Fail
sub-121670,ses-1,1,1,1,1,1,Pass
sub-122522,ses-1,1,1,1,1,1,Pass
sub-122528,ses-1,1,1,1,1,1,Pass
sub-122801,ses-1,1,1,0,1,0.75,Artifact
sub-122916,ses-1,1,1,1,1,1,Pass
sub-125511,ses-1,1,1,1,1,1,Pass
sub-125535,ses-1,1,1,1,1,1,Pass
sub-125554,ses-1,1,1,1,1,1,Pass
sub-126176,ses-1,1,1,1,1,1,Pass
sub-126389,ses-1,1,1,1,1,1,Pass
sub-126554,ses-1,1,1,1,1,1,Pass
sub-126903,ses-1,1,1,1,1,1,Pass
sub-126921,ses-1,1,1,1,1,1,Pass
sub-127008,ses-1,1,1,1,1,1,Pass
sub-127236,ses-1,1,1,1,1,1,Pass
sub-127305,ses-1,0,1,1,1,0.75,Artifact
sub-127417,ses-1,0,0,0,0,0,Fail
sub-127542,ses-1,1,1,1,1,1,Pass
sub-127611,ses-1,1,1,1,1,1,Pass
sub-128061,ses-1,1,1,1,1,1,Pass
sub-128154,ses-1,1,1,0,0,0.5,Artifact
sub-129354,ses-1,1,1,1,1,1,Pass
sub-129405,ses-1,0,1,0,0,0.25,Artifact
sub-129552,ses-1,1,1,1,1,1,Pass
sub-129720,ses-1,1,1,1,1,1,Pass
sub-129886,ses-1,1,1,1,1,1,Pass
sub-129926,ses-1,1,1,0,0,0.5,Artifact
sub-130121,ses-1,1,1,0,1,0.75,Artifact
sub-130211,ses-1,1,1,1,1,1,Pass
sub-130687,ses-1,1,1,1,1,1,Pass
sub-130759,ses-1,1,1,1,1,1,Pass
sub-130896,ses-1,1,1,1,1,1,Pass
sub-131224,ses-1,1,1,1,1,1,Pass
sub-131867,ses-1,1,1,1,1,1,Pass
sub-132179,ses-1,1,1,1,1,1,Pass
sub-132224,ses-1,1,1,1,1,1,Pass
sub-132657,ses-1,1,1,1,1,1,Pass
sub-133220,ses-1,1,1,1,1,1,Pass
sub-139272,ses-1,1,1,1,1,1,Pass
