subid,sesid,S1_score,S3_score,A2_score,A3_score
sub-130211,ses-1,1,1,0,1
sub-130687,ses-1,1,0,1,1
sub-130759,ses-1,1,1,1,1
sub-130896,ses-1,1,1,1,1
sub-131224,ses-1,1,1,1,1
sub-131867,ses-1,1,1,1,1
sub-132179,ses-1,0,0,1,1
sub-132224,ses-1,1,1,1,1
sub-132657,ses-1,1,1,1,1
sub-133220,ses-1,1,1,1,1
sub-139272,ses-1,1,1,1,1
