participant_id,session_id,task,acq,median_FD,low_coverage_sum,qc_determination
sub-86486,ses-1,fracback,singleband,0.046261902329773,2,pass
sub-86486,ses-1,rest,multiband,0.0804614299649669,2,pass
sub-86486,ses-1,rest,singleband,0.0980216432092467,2,pass
sub-86722,ses-1,fracback,singleband,0.1454838850069291,2,pass
sub-86722,ses-1,rest,multiband,0.0687830933686519,2,pass
sub-86722,ses-1,rest,singleband,0.1024648535533195,2,pass
sub-86924,ses-1,face,singleband,0.1828200146039991,2,pass
sub-86924,ses-1,fracback,singleband,0.1525240828725513,2,pass
sub-86924,ses-1,rest,multiband,0.1468576104897014,2,pass
sub-86924,ses-1,rest,singleband,0.1402893839487535,2,pass
sub-86972,ses-1,fracback,singleband,0.0854643416852969,2,pass
sub-86972,ses-1,rest,multiband,0.0858879137161616,2,pass
sub-86972,ses-1,rest,singleband,0.1000721848214618,2,pass
sub-87135,ses-1,face,singleband,0.0910922514353465,2,pass
sub-87135,ses-1,fracback,singleband,0.0488918713216524,2,pass
sub-87135,ses-1,rest,multiband,0.0728473998815937,2,pass
sub-87135,ses-1,rest,singleband,0.0575932804314803,2,pass
sub-87346,ses-1,rest,multiband,0.1281135946410417,2,pass
sub-87346,ses-1,rest,singleband,0.1938088750027115,2,pass
sub-87445,ses-1,fracback,singleband,0.103762509675549,2,pass
sub-87445,ses-1,rest,multiband,0.1082071162530205,2,pass
sub-87445,ses-1,rest,singleband,0.0847927434112464,2,pass
sub-87457,ses-1,face,singleband,0.1046620254663796,2,pass
sub-87457,ses-1,fracback,singleband,0.0520702234305205,2,pass
sub-87457,ses-1,rest,multiband,0.1305918346563888,2,pass
sub-87457,ses-1,rest,singleband,0.1568454860072653,2,pass
sub-87538,ses-1,face,singleband,0.0831168448536738,2,pass
sub-87538,ses-1,fracback,singleband,0.0470875751390148,2,pass
sub-87538,ses-1,rest,multiband,0.0368512282717843,2,pass
sub-87538,ses-1,rest,singleband,0.0464442525049458,2,pass
sub-87563,ses-1,fracback,singleband,0.1184637265891353,2,pass
sub-87563,ses-1,rest,multiband,0.0980740450366891,2,pass
sub-87563,ses-1,rest,singleband,0.1254687978239917,2,pass
sub-87601,ses-1,fracback,singleband,0.043200000383453,2,pass
sub-87601,ses-1,rest,multiband,0.1064316733466335,2,pass
sub-87601,ses-1,rest,singleband,0.0860116061797854,2,pass
sub-87646,ses-1,fracback,singleband,0.0603942440232125,2,pass
sub-87646,ses-1,rest,multiband,0.0851628386472111,2,pass
sub-87646,ses-1,rest,singleband,0.0756990889177809,2,pass
sub-87804,ses-1,face,singleband,0.1254928372068991,2,pass
sub-87804,ses-1,fracback,singleband,0.1210705575408648,2,pass
sub-87804,ses-1,rest,multiband,0.0926918883377995,2,pass
sub-87804,ses-1,rest,singleband,0.1612469281903374,2,pass
sub-87990,ses-1,face,singleband,0.163332735964865,2,pass
sub-87990,ses-1,fracback,singleband,0.0835710736078484,2,pass
sub-87990,ses-1,rest,multiband,0.094913707177328,2,pass
sub-87990,ses-1,rest,singleband,0.0498022631592073,2,pass
sub-88209,ses-1,face,singleband,0.0989377414441061,2,pass
sub-88209,ses-1,fracback,singleband,0.0766647949214048,2,pass
sub-88209,ses-1,rest,multiband,0.1029756402808333,2,pass
sub-88209,ses-1,rest,singleband,0.0909886514052402,2,pass
sub-88402,ses-1,fracback,singleband,0.0578812625752506,2,pass
sub-88402,ses-1,rest,multiband,0.1273691052198886,2,pass
sub-88402,ses-1,rest,singleband,0.0795454888797708,2,pass
sub-88589,ses-1,fracback,singleband,0.0611492241719348,2,pass
sub-88589,ses-1,rest,multiband,0.1271874695736682,2,pass
sub-88589,ses-1,rest,singleband,0.0512170344083436,2,pass
sub-88608,ses-1,fracback,singleband,0.0559218449070658,2,pass
sub-88608,ses-1,rest,multiband,0.071522379268128,2,pass
sub-88608,ses-1,rest,singleband,0.0652743585949374,2,pass
sub-88760,ses-1,fracback,singleband,0.0612606763053118,2,pass
sub-88760,ses-1,rest,multiband,0.0909759924051313,2,pass
sub-88760,ses-1,rest,singleband,0.1115796718755555,2,pass
sub-88770,ses-1,fracback,singleband,0.1410842875737786,2,pass
sub-88770,ses-1,rest,multiband,0.0749201704731565,2,pass
sub-88770,ses-1,rest,singleband,0.0655158472152353,2,pass
sub-88773,ses-1,rest,multiband,0.0892481270532833,2,pass
sub-88773,ses-1,rest,singleband,0.0800543036092884,2,pass
sub-89279,ses-1,fracback,singleband,0.0536803545198979,2,pass
sub-89279,ses-1,rest,multiband,0.0951893806662187,2,pass
sub-89279,ses-1,rest,singleband,0.066104876489624,2,pass
sub-89377,ses-1,fracback,singleband,0.0477931765293706,2,pass
sub-89377,ses-1,rest,multiband,0.0818711330343478,2,pass
sub-89377,ses-1,rest,singleband,0.0835617239815686,2,pass
sub-90021,ses-1,fracback,singleband,0.1349390280244945,2,pass
sub-90021,ses-1,rest,multiband,0.1767631241675235,2,pass
sub-90021,ses-1,rest,singleband,0.3315361108158982,2,fail
sub-90060,ses-1,rest,multiband,0.1212559923791106,2,pass
sub-90060,ses-1,rest,singleband,0.0800538461451515,2,pass
sub-90077,ses-1,fracback,singleband,0.0540789132777393,2,pass
sub-90077,ses-1,rest,multiband,0.1377487400927188,2,pass
sub-90077,ses-1,rest,singleband,0.1466185928763965,2,pass
