participant_id	bisbas_1	bisbas_2	bisbas_3	bisbas_4	bisbas_5	bisbas_6	bisbas_7	bisbas_8	bisbas_9	bisbas_10	bisbas_11	bisbas_12	bisbas_13	bisbas_14	bisbas_15	bisbas_16	bisbas_17	bisbas_18	bisbas_19	bisbas_20	bisbas_21	bisbas_22	bisbas_23	bisbas_24
sub-127305	1	2	1	1	1	3	1	3	1	1	4	2	2	1	1	2	1	1	1	2	2	1	2	2
sub-127417	1	2	2	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1
sub-127542	1	1	1	1	1	1	1	2	2	1	4	1	4	1	3	4	3	4	4	1	2	1	1	4
sub-127611	2	1	2	1	1	2	1	2	2	3	4	2	2	2	2	4	1	2	2	2	2	1	1	2
sub-128061	1	3	2	2	1	2	1	1	2	2	4	2	2	1	2	2	1	2	2	1	3	4	1	2
sub-128154	1	3	4	1	1	2	1	4	3	2	3	2	1	1	3	1	1	1	1	1	3	2	1	1
sub-129354	2	3	1	1	2	2	1	3	2	1	3	1	3	1	3	3	2	3	2	2	2	2	2	3
sub-129405	1	2	1	1	3	2	1	2	1	2	2	1	4	1	2	2	2	1	1	2	3	2	1	1
sub-129552	2	3	1	1	1	2	1	1	2	3	1	2	2	2	2	2	2	1	2	2	2	3	1	2
sub-129720	1	2	2	1	1	3	2	4	2	2	1	2	3	2	4	3	1	2	2	3	2	3	2	1
sub-129886	2	4	1	1	1	1	1	1	1	1	3	2	1	1	1	2	2	2	1	1	1	1	1	1
sub-129926	2	4	3	1	2	2	2	3	3	4	4	3	4	1	4	3	1	1	1	2	3	4	2	2
sub-130121	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-130211	2	1	1	1	1	2	1	4	1	2	2	2	2	2	2	4	2	2	2	1	2	3	1	4
sub-130687	2	1	1	1	1	3	2	3	3	2	3	2	2	2	2	3	2	2	2	2	2	1	2	2
sub-130759	1	2	3	1	1	2	1	1	3	1	4	2	4	2	3	2	4	2	1	3	3	3	1	2
sub-130896	1	2	3	1	1	2	2	3	3	2	4	2	4	2	2	4	1	2	2	2	2	2	1	2
sub-131224	2	3	2	1	1	2	2	2	3	2	3	3	1	1	2	1	3	2	2	2	3	2	1	2
sub-131867	2	2	3	1	1	1	1	3	1	2	3	1	2	1	1	3	2	3	1	3	3	1	1	1
sub-132179	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sub-132224	2	3	2	1	1	3	2	2	3	2	3	2	2	2	3	2	2	3	1	3	3	3	1	1
sub-132657	2	2	4	2	1	3	2	3	4	1	3	3	4	4	3	2	2	3	3	2	4	3	2	1
sub-133220	3	2	3	1	2	3	1	2	2	2	2	2	2	2	2	3	2	2	1	2	3	2	2	2
sub-139272	1	3	1	1	1	2	1	4	1	1	3	1	2	1	4	4	2	2	1	1	2	2	1	2
sub-19977	1	4	4	1	2	1	1	2	4	4	2	3	1	1	4	1	1	1	1	2	3	4	2	1
sub-19981	2	4	3	1	1	2	2	2	4	4	3	3	2	1	4	1	1	1	1	3	4	3	1	1
sub-20011	1	4	2	2	1	2	2	2	2	3	1	2	1	2	2	2	1	3	1	2	2	3	1	1
sub-20017	1	4	2	1	1	2	1	1	2	1	4	1	2	1	1	1	1	1	1	2	2	4	1	1
sub-20120	2	4	2	1	1	2	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	4	1	1
sub-20151	2	4	3	2	1	2	2	1	3	2	4	4	1	2	4	2	1	3	1	4	4	4	1	1
sub-20153	1	4	2	1	2	2	1	1	2	3	3	2	2	2	2	2	2	1	1	1	3	3	1	1
sub-20189	4	4	1	1	1	1	1	1	1	1	4	1	1	1	1	2	1	1	1	1	2	4	1	2
sub-20197	4	4	2	2	1	1	2	2	2	1	1	3	2	2	4	2	2	3	1	4	4	4	2	1
sub-20247	3	4	3	2	3	1	2	1	2	3	4	3	2	3	4	2	1	2	1	3	4	4	3	1
sub-20313	3	3	2	1	2	1	2	2	2	2	1	2	1	2	3	1	1	2	1	2	3	4	2	1
sub-20320	2	2	2	1	1	1	1	2	2	2	3	2	1	2	4	2	1	1	1	3	3	3	1	2
sub-20322	1	4	1	1	1	2	1	2	1	1	3	1	1	1	2	2	1	1	1	2	1	3	1	1
sub-20325	3	4	2	1	2	2	1	1	2	3	2	2	1	2	3	1	3	2	1	2	4	4	1	1
sub-20326	1	3	3	2	1	2	2	3	3	2	2	3	2	2	3	3	2	3	1	3	4	3	2	2
sub-20327	3	2	2	1	1	1	1	3	2	2	4	2	4	2	3	2	1	3	1	2	3	2	2	2
sub-20362	2	3	4	1	2	1	1	2	2	3	4	3	1	2	4	1	1	1	1	2	3	4	1	2
sub-20386	2	4	4	1	2	2	2	2	4	2	3	4	1	2	3	2	1	2	1	2	4	4	2	1
