participant_id	grit_1	grit_2	grit_3	grit_4	grit_5	grit_6	grit_7	grit_8	grit_9	grit_10	grit_11	grit_12	grit_13	grit_14	grit_15___0	grit_15___1	grit_15___2	grit_15___3	grit_complete
sub-20649	5	3	2	4	3	5	3	5	3	3	5	5	4.0	12.0	1	0	0	1	2
sub-20699	4	2	4	3	4	4	1	2	3	3	2	4	7.0	7.0	1	1	1	1	2
sub-20809	5	2	4	3	4	5	2	2	3	4	3	5	3.0	7.0	1	1	0	1	2
sub-20888	5	3	4	3	5	4	3	2	4	4	3	5	5.0	10.0	1	1	1	1	2
sub-20940	3	5	3	3	3	3	3	1	3	3	3	3	5.0	15.0	1	1	0	1	2
sub-20941	5	2	2	1	3	4	1	1	5	1	5	4	2.0	16.0	1	0	1	1	2
sub-20949	5	3	4	4	3	4	4	4	2	3	4	4	3.0	10.0	1	0	0	0	2
sub-20963	5	2	4	3	2	5	1	1	3	1	3	5	5.0	7.0	1	0	0	1	2
sub-20974	5	1	2	1	5	4	1	1	2	2	4	5	2.0	20.0	1	1	0	1	2
sub-20981	4	2	5	5	5	4	3	2	4	4	3	5	3.0	12.0	1	1	0	1	2
sub-21016	5	2	5	1	4	5	2	1	5	2	4	5	3.0	8.0	1	1	0	1	2
sub-21056	5	3	3	1	5	5	1	1	5	3	3	5	10.0	3.0	1	1	0	0	2
sub-21059																			
sub-21085	5	4	1	4	5	3	5	5	2	5	3	4	1.0	14.0	1	1	1	1	2
sub-80557	4	3	3	4	5	4	3	4	4	4	5	5	6.0	8.0	1	1	0	1	2
sub-80688	4	2	4	2	5	3	4	3	4	3	3	4	2.0	9.0	1	1	0	1	2
sub-81725	5	2	4	3	5	5	4	4	5	5	5	5	4.0	8.0	0	1	1	1	2
sub-81760	5	2	4	3	4	4	3	3	3	4	4	4	3.0	8.0	1	1	0	1	2
sub-82051	4	5	1	2	5	4	1	3	5	5	3	4	5.0	5.0	0	0	0	1	2
sub-82063	3	2	4	3	1	1	2	2	3	3	3	3	9.0	3.0	1	1	0	1	2
sub-82492	5	3	5	3	5	5	5	5	4	5	4	5	2.0	12.0	1	1	0	1	2
sub-82790	5	3	1	3	4	3	4	2	2	4	2	5	2.0	13.0	1	1	1	1	2
sub-83010	4	3	3	2	2	4	3	3	4	3	4	3	5.0	7.0	1	1	0	0	2
sub-83372	4	3	4	1	4	4	2	2	4	2	3	5	2.0	16.0	1	0	1	1	2
sub-83454	5	4	4	5	5	4	5	5	4	5	4	5	4.0	10.0	1	1	1	1	2
sub-83835	5	5	4	5	5	5	1	5	2	5	5	3	4.0	10.0	1	1	1	1	2
sub-83999	4	2	2	2	3	4	3	2	4	4	4	4	3.0	8.0	1	1	1	1	2
sub-84103	2	2	5	3	5	5	3	1	3	2	3	5	4.0	12.0	1	0	1	1	2
sub-84354	4	5	4	3	2	4	4	2	4	4	3	3	12.0	6.0	1	1	0	1	2
sub-84688	3	5	3	5	5	3	3	4	3	5	4	4	9.0	12.0	1	1	0	1	2
sub-84761	5	3	5	2	4	5	2	1	5	3	5	5	4.0	10.0	1	1	1	1	2
sub-84973	5	2	4	2	3	3	4	3	3	2	4	5	5.0	6.0	1	1	0	1	2
